index,codepoint,char,rom
0,U+3042,あ,a
1,U+3044,い,i
2,U+3046,う,u
3,U+3048,え,e
4,U+304A,お,o
5,U+304B,か,ka
6,U+304D,き,ki
7,U+304F,く,ku
8,U+3051,け,ke
9,U+3053,こ,ko
10,U+3055,さ,są
11,U+3057,し,shi
12,U+3059,す,su
13,U+305B,せ,se
14,U+305D,そ,so
15,U+305F,た,ta
16,U+3061,ち,chi
17,U+3064,つ,tsu
18,U+3066,て,te
19,U+3068,と,to
20,U+306A,な,na
21,U+306B,に,ni
22,U+306C,ぬ,nu
23,U+306D,ね,ne
24,U+306E,の,no
25,U+306F,は,ha
26,U+3072,ひ,hi
27,U+3075,ふ,hu
28,U+3078,へ,he
29,U+307B,ほ,ho
30,U+307E,ま,ma
31,U+307F,み,mi
32,U+3080,む,mu
33,U+3081,め,me
34,U+3082,も,mo
35,U+3084,や,ya
36,U+3086,ゆ,yu
37,U+3088,よ,yo
38,U+3089,ら,ra
39,U+308A,り,ri
40,U+308B,る,ru
41,U+308C,れ,re
42,U+308D,ろ,ro
43,U+308F,わ,wa
44,U+3090,ゐ,wi
45,U+3091,ゑ,we
46,U+3092,を,wo
47,U+3093,ん,na
48,U+309D,ゝ,iteration mark
